Реакция;Растворитель;Температура, C;Время, ч;Загрузка, ммоль;Выход;Чистота
Хека; Диоксан  ;80;4.0;19,39;79,9%;93,9
Соногашира;Этанол;100;6.0;23,63;65,3%;92,6
Сузуки;Толуол;80;16.0;14,79;80,2%;98,8
Соногашира;Толуол;100;2.0;56,23;75,5%;99,9
Хека;Диоксан;60;6.0;28,11;91,1%;98,1
Соногашира;Толуол;80;12.0;27,76;71,7%;92,8
Хека;ДМФА;80;8.0;52,14;76,9%;98,4
Хека;Толуол;80;16.0;37,34;68,4%;98,0
Соногашира;Толуол;80;6.0;20,75;77,6%;97,1
Сузуки;Толуол;110;8.0;49,15;84,4%;99,9
Соногашира;Диоксан;80;12.0;6,56;88,3%;97,2
Соногашира; Этанол  ;110;4.0;50,47;62,7%;95,6
Сузуки; ДМФА  ;80;8.0;50,08;85,7%;94,3
Соногашира;ДМФА;110;16.0;14,23;84,9%;94,3
Соногашира;Этанол;80;2.0;38,85;64,1%;96,6
Бухвальда-Хартвига; Толуол  ;110;2.0;57,63;69,0%;90,2
Сузуки;Диоксан;110;16.0;37,85;91,9%;96,1
Сузуки;Этанол;60;6.0;18,0;69,1%;94,2
Соногашира;ДИОКСАН;100;6.0;10,59;92,2%;99,9
Хека;Этанол;110;2.0;40,66;55,6%;95,6
Бухвальда-Хартвига;Диоксан;60;2.0;27,67;83,3%;94,6
Сузуки;Этанол;110;12.0;45,98;73,1%;99,9
Хека;Этанол;60;16.0;42,91;59,6%;94,8
Хека;ДМФА;80;2.0;35,51;65,6%;96,3
Бухвальда-Хартвига;Диоксан;100;2.0;44,39;83,5%;93,3
Бухвальда-Хартвига;ДМФА;110;16.0;48,86;80,8%;98,1
Бухвальда-Хартвига;Толуол;80;16.0;17,68;70,0%;
Сузуки;ДМФА;60;12.0;28,26;86,8%;95,7
Бухвальда-Хартвига; Этанол  ;110;6.0;57,84;57,3%;96,7
Бухвальда-Хартвига;Этанол;80;6.0;42,53;53,5%;96,2
Хека;ДМФА;100;8.0;59,33;72,4%;93,2
Сузуки;Диоксан;110;6.0;7,67;91,0%;97,3
Сузуки;Диоксан;100;6.0;30,25;96,5%;94,3
Бухвальда-Хартвига;Диоксан;80;16.0;33,72;82,3%;95,7
Бухвальда-Хартвига;Диоксан;60;2.0;53,16;80,9%;93,1
Соногашира;Этанол;60;2.0;37,84;66,7%;96,4
Хека;Диоксан;100;6.0;47,58;76,9%;96,4
Хека;Диоксан;60;12.0;51,78;90,1%;94,9
Соногашира;Этанол;80;2.0;59,66;72,9%;99,9
Хека;Толуол;100;12.0;25,12;72,9%;95,5
Бухвальда-Хартвига;Диоксан;80;6.0;18,23;77,7%;90,4
Бухвальда-Хартвига;ДИОКСАН;110;6.0;38,08;76,8%;96,1
Сузуки;Диоксан;80;6.0;42,15;99,0%;91,2
Хека;ДМФА;80;8.0;19,45;79,1%;96,1
Соногашира;Этанол;100;2.0;16,67;67,9%;96,2
Бухвальда-Хартвига;Диоксан;100;4.0;13,84;82,3%;
Бухвальда-Хартвига;ЭТАНОЛ;60;8.0;15,38;51,2%;
Бухвальда-Хартвига;Этанол;110;8.0;9,53;52,4%;96,3
Сузуки;ДМФА;60;2.0;25,22;80,9%;96,2
Сузуки;Этанол;100;16.0;39,97;71,6%;96,4
Соногашира;ДМФА;110;8.0;30,4;85,8%;95,5
Сузуки;ДМФА;110;16.0;36,32;82,5%;92,2
Сузуки; Толуол  ;80;8.0;25,9;80,9%;98,2
Сузуки;Этанол;110;16.0;31,67;71,0%;95,5
Бухвальда-Хартвига;Диоксан;80;2.0;57,09;77,1%;98,8
Сузуки;Толуол;100;12.0;9,12;71,2%;91,9
Сузуки;ДМФА;100;2.0;23,2;91,3%;96,2
Хека;ЭТАНОЛ;110;8.0;28,8;58,4%;94,9
Бухвальда-Хартвига; Диоксан  ;60;8.0;57,98;83,7%;93,7
Сузуки;Толуол;60;16.0;58,69;76,4%;97,8
Соногашира;Толуол;60;8.0;34,28;77,8%;98,2
Хека; Диоксан  ;100;12.0;51,32;77,5%;98,0
Соногашира;Диоксан;60;16.0;35,41;88,3%;96,2
Хека;ДМФА;60;6.0;36,22;80,9%;97,9
Хека;ДМФА;80;2.0;52,92;77,8%;96,8
Соногашира;ЭТАНОЛ;80;6.0;43,86;65,4%;91,6
Сузуки;ДМФА;80;12.0;48,04;92,2%;95,7
Хека;Толуол;100;16.0;45,17;87,2%;97,3
Сузуки;Этанол;80;4.0;37,22;79,7%;97,4
Бухвальда-Хартвига;Толуол;80;16.0;17,68;70,0%;
Бухвальда-Хартвига;Диоксан;110;16.0;24,53;74,5%;97,9
Бухвальда-Хартвига;Толуол;60;4.0;37,72;61,8%;96,4
Сузуки;Толуол;80;12.0;39,0;77,0%;90,4
Бухвальда-Хартвига;Толуол;60;12.0;31,8;74,4%;95,6
Бухвальда-Хартвига;Толуол;100;6.0;58,71;73,0%;98,1
Хека; Диоксан  ;80;8.0;51,6;81,1%;99,9
Хека;ДИОКСАН;60;16.0;24,57;76,2%;93,5
Соногашира;Толуол;60;6.0;43,5;83,3%;98,5
Сузуки;Этанол;100;8.0;27,36;76,0%;95,7
Бухвальда-Хартвига;Диоксан;60;6.0;41,47;79,3%;97,6
Сузуки; ДМФА  ;80;8.0;50,08;85,7%;94,3
Сузуки;ДМФА;80;2.0;55,38;98,6%;99,9
Бухвальда-Хартвига;Диоксан;100;2.0;44,39;83,5%;93,3
Хека;Диоксан;80;4.0;12,07;83,6%;91,8
Бухвальда-Хартвига;ДМФА;110;16.0;48,86;80,8%;98,1
Соногашира;ДМФА;80;16.0;37,91;79,8%;95,6
Соногашира;Толуол;100;4.0;34,23;72,2%;97,3
Хека;Толуол;80;16.0;28,69;65,9%;98,9
Хека;ЭТАНОЛ;60;16.0;10,62;65,4%;91,4
Хека;Этанол;80;2.0;24,7;53,8%;
Сузуки;Толуол;110;8.0;10,36;76,8%;98,7
Сузуки;Толуол;80;2.0;11,47;92,4%;93,0
Бухвальда-Хартвига;ДИОКСАН;110;12.0;48,63;82,2%;93,6
Соногашира;Толуол;100;6.0;6,86;73,0%;95,4
Соногашира;Толуол;80;8.0;15,39;86,9%;94,0
Сузуки;Диоксан;60;8.0;55,45;84,2%;91,5
Бухвальда-Хартвига;Диоксан;80;12.0;9,38;83,2%;
Сузуки;Диоксан;110;8.0;27,89;93,9%;95,3
Бухвальда-Хартвига;Толуол;80;2.0;20,95;67,4%;99,7
Бухвальда-Хартвига;Этанол;100;16.0;14,75;56,7%;95,4
Сузуки;Этанол;60;2.0;34,71;66,5%;
Соногашира;ДМФА;60;2.0;56,26;84,5%;97,7
Хека;Этанол;60;4.0;56,82;57,7%;95,5
Бухвальда-Хартвига;Диоксан;110;4.0;32,5;87,4%;94,6
Бухвальда-Хартвига;ЭТАНОЛ;110;8.0;53,68;72,8%;98,0
Сузуки;ДИОКСАН;110;2.0;52,44;94,8%;99,2
Соногашира;Толуол;80;12.0;27,76;71,7%;92,8
Хека;ДМФА;110;16.0;31,73;71,5%;96,6
Сузуки;ТОЛУОЛ;110;4.0;15,7;82,5%;93,1
Сузуки;Этанол;100;6.0;55,98;65,6%;95,3
Хека;Толуол;110;2.0;34,33;64,9%;97,1
Бухвальда-Хартвига;ДМФА;60;8.0;30,7;81,0%;97,6
Бухвальда-Хартвига;Толуол;100;6.0;58,71;73,0%;98,1
Соногашира;ДМФА;60;6.0;27,21;78,1%;93,5
Сузуки;ДМФА;100;16.0;6,68;99,0%;98,3
Соногашира;ДМФА;110;2.0;51,33;84,4%;97,8
Сузуки;Этанол;60;12.0;57,51;71,7%;91,3
Бухвальда-Хартвига;Этанол;100;8.0;16,35;61,9%;96,7
Сузуки;ДМФА;80;2.0;33,06;80,9%;
Бухвальда-Хартвига;Диоксан;60;6.0;48,2;81,8%;98,3
Бухвальда-Хартвига;Толуол;60;4.0;37,72;61,8%;96,4
Хека;Толуол;100;6.0;54,11;74,1%;93,7
Сузуки;Диоксан;100;6.0;41,77;93,8%;97,3
Хека;ДИОКСАН;60;16.0;24,57;76,2%;93,5
Бухвальда-Хартвига;ДМФА;80;2.0;43,36;74,8%;96,1
Сузуки;Этанол;100;16.0;45,55;76,1%;92,4
Бухвальда-Хартвига; Диоксан  ;80;16.0;16,52;81,4%;95,5
Бухвальда-Хартвига;ДИОКСАН;110;6.0;38,08;76,8%;96,1
Сузуки;Диоксан;80;4.0;12,35;90,8%;93,6
Сузуки;ДМФА;80;2.0;33,06;80,9%;
