wavelength_nm,A_2uM,A_4uM,A_6uM,A_8uM,A_10uM
350.0,0.0021,0.0373,0.0121,0.0217,0.0285
352.0,0.0034,0.0187,0.0135,-0.0024,0.0191
354.0,0.0223,0.0129,-0.0043,-0.0042,0.0216
356.0,0.0272,0.0033,0.0319,0.0027,0.0031
358.0,0.0002,0.0110,0.0014,-0.0012,0.0231
360.0,0.0081,0.0160,0.0270,-0.0087,0.0230
362.0,-0.0087,0.0003,-0.0156,0.0115,0.0155
364.0,0.0181,0.0125,0.0157,-0.0109,-0.0040
366.0,0.0189,0.0093,0.0205,0.0103,0.0034
368.0,0.0267,0.0155,0.0264,0.0076,0.0131
370.0,0.0118,0.0224,0.0012,0.0285,0.0226
372.0,0.0301,0.0167,0.0154,-0.0157,0.0098
374.0,-0.0124,0.0130,0.0154,0.0107,0.0087
376.0,-0.0005,0.0296,0.0269,-0.0061,0.0076
378.0,0.0076,0.0076,0.0123,0.0018,0.0016
380.0,0.0033,0.0063,0.0062,0.0045,0.0040
382.0,0.0017,0.0004,0.0006,0.0108,0.0117
384.0,0.0048,0.0097,-0.0007,0.0150,0.0075
386.0,-0.0133,0.0145,-0.0054,0.0183,0.0063
388.0,0.0361,0.0150,0.0104,0.0156,0.0212
390.0,-0.0005,0.0130,0.0231,0.0181,0.0115
392.0,0.0014,-0.0004,0.0074,0.0051,0.0007
394.0,0.0139,0.0074,0.0113,0.0149,0.0060
396.0,-0.0031,0.0117,0.0315,0.0054,0.0329
398.0,0.0176,0.0195,0.0049,0.0139,0.0153
400.0,0.0242,0.0151,0.0219,-0.0138,0.0052
402.0,-0.0000,0.0244,0.0111,-0.0013,-0.0002
404.0,0.0022,0.0083,0.0221,0.0158,0.0080
406.0,-0.0051,0.0025,0.0214,0.0251,-0.0019
408.0,-0.0008,0.0028,0.0017,0.0229,0.0188
410.0,-0.0050,0.0005,0.0092,0.0105,0.0120
412.0,0.0195,0.0031,0.0236,0.0277,0.0166
414.0,0.0209,0.0237,0.0256,0.0150,0.0180
416.0,0.0200,0.0227,0.0170,0.0061,0.0206
418.0,0.0077,0.0007,0.0058,0.0234,0.0166
420.0,0.0027,-0.0048,0.0132,0.0283,0.0255
422.0,0.0114,0.0221,0.0259,0.0064,0.0315
424.0,0.0156,0.0232,0.0234,0.0198,0.0175
426.0,-0.0001,0.0276,0.0241,0.0463,0.0215
428.0,0.0269,0.0086,0.0301,0.0410,0.0358
